Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
435.26005692825623,-2.16284214792598,-47511.072164395824,-29039087286091.605,-444.84329196524277,-17178.944147741768,-878.4616081766255,-48386.66925427316,425.71771234332823
432.16812648917914,-2.136212797377483,-47511.905280023326,-26194031401383.246,-442.6500768093769,-17180.144300266562,-881.8880968598178,-48384.44066996959,427.3085039942678
431.1502384980969,-2.19882583839243,-47499.405265628004,-27713348921991.336,-461.2508591856207,-17121.209440208786,-924.3857404831995,-48383.53960403205,441.2407775392319
460.6344410874766,-2.201104200279232,-47488.414043313984,-27791810653654.87,-463.9284184661368,-17109.59930276922,-907.8377899996046,-48382.64569939026,443.8450838708731
441.6190688871529,-2.179343391819124,-47496.17229592915,-44511200266641.74,-467.1220283715626,-17097.22196331939,-935.2422648374948,-48382.522700035806,445.39432907319707
460.78007232315014,-2.1632268864180486,-47481.83549117398,-36369193468880.766,-471.7140042711819,-17066.61391921833,-937.9139201489972,-48382.82713710467,455.7273681749357
455.21131755002614,-1.9580740668679164,-47480.84274971759,-38898548992757.266,-485.78731707592,-17030.49156803133,-968.5778232135409,-48384.96366322473,461.59088406771156
471.9759655629793,-1.9294943778103382,-47474.76384828857,-44020852990904.766,-479.0753789693097,-17032.56346766296,-950.4016892752524,-48386.16271559833,464.29796319329665
461.07702009799215,-1.8681580149075245,-47477.50263391442,-37435358746643.305,-486.2126215104324,-17009.001821341313,-977.4698565448753,-48388.73848607974,463.8748454139746
480.4241078906837,-1.8280622291242083,-47461.379331868775,-37815729803397.32,-492.65013439066064,-16981.169115413824,-975.2792653752376,-48390.96575839019,476.84061736482835
488.49527086358137,-1.8175579675388018,-47462.18730096159,-25780943720909.043,-488.69666180660744,-16998.195842368004,-956.5164518493931,-48392.83698856929,469.6826015993979
471.25371335362473,-1.7637975243251756,-47473.45841513996,-30486372115860.33,-481.86992430250666,-17012.38507128974,-960.82285058116,-48394.90704037156,465.7072624634418
472.5106027570064,-1.715461569869397,-47466.663384136125,-38476103866600.55,-490.3093200094499,-16986.066445627723,-975.0999596496335,-48397.46635627266,474.9087075042028
471.284326526289,-1.5130233555953052,-47465.28688469383,-49842132724300.34,-499.7611370694997,-16945.671279579845,-1005.3278436692324,-48400.77974021613,476.467792654883
499.9711690706225,-1.5133668618042737,-49074.817416595186,-47397427101921.664,-530.9771856499735,-17441.133044947394,-1064.8305768942162,-50063.387319250745,510.9070840887063
512.6532187404406,-1.4651189602358305,-47436.19125073177,-27205168617084.13,-513.5654912858316,-16873.924515446724,-1012.5912562148352,-48409.79400757261,499.1816734440715
506.13086363882877,-1.4876257069536127,-47444.8569652509,-36173326658174.91,-508.2584791389859,-16890.85186640759,-1003.8824645884476,-48414.05186255915,489.6238036072924
494.46855684690985,-1.456570014906921,-47450.057924621025,-40524873903286.195,-505.95155791322475,-16896.23831399256,-1007.8488384381236,-48416.911952881674,489.3023652943191
495.0427724998812,-1.4409081926431935,-47444.54427355869,-36649893214295.98,-511.34384961249197,-16874.884286637487,-1019.6171980067718,-48419.77729117666,495.7508114504989
500.5067864893902,-1.421474857162631,-47439.7882985198,-43067978883811.53,-516.3829964985266,-16856.48678063185,-1024.2336644445224,-48423.34531111704,496.49864752557977
505.6465195141786,-1.4356277931278507,-47441.19541113476,-43469064752170.25,-514.8315646410123,-16855.270350005878,-1021.3068264723124,-48426.99664262017,495.2041476529252
509.6325732605671,-1.4912183201556537,-47433.49619820973,-38742054089556.14,-519.700152422204,-16846.088644709394,-1019.3379621389712,-48430.24699622779,497.8401604848256
508.98532332423986,-1.4664768505865866,-47441.2314909454,-44570560619910.12,-510.1510292061861,-16874.38640045844,-1000.0997697747564,-48432.20011664376,486.3427274942549
502.05581302619527,-1.4865651948545142,-47451.07362595692,-43857511878192.3,-499.26476634130273,-16914.98102695319,-975.5053655219141,-48433.91029966809,478.10887737519937
494.0504683745257,-1.587281631214997,-47469.00747850012,-35590368384055.516,-480.278039323972,-16991.912127558815,-928.5535052759017,-48433.74597253054,454.2142027832516
463.8929946520539,-1.6995967399730145,-47492.01983772278,-40485645885712.305,-465.3442777018528,-17056.69077321173,-911.6967990794371,-48432.91941686861,431.3024296993415
470.7693692289745,-1.7590138269512599,-49109.208601614824,-29466070206811.29,-486.34001302574285,-17603.58110410576,-955.3264288536927,-50091.360369679256,457.2533518901491
464.634489427083,-1.7478239325071063,-47486.73906543822,-23243981170743.586,-462.99253004469057,-17057.03882260606,-906.77988621854,-48431.20261921233,445.27952967570656
