Feature_1,Feature_2,Feature_3
2843.2234552972022,-3.8999681721986406,-82100.79695478777
2899.3019408689943,-3.8372072293325923,-82082.32013419007
2947.7545007928456,-3.8837469259561423,-82041.76846500085
2849.0568055246463,-3.793047264241196,-82093.83193007133
2838.552836221443,-3.682424088266784,-82098.30674067627
2788.778474434602,-3.600122467552419,-82114.1873000216
2818.5068966786457,-3.5090136939566148,-82102.33653202934
2810.1409134833457,-3.306191058532367,-82110.54003585524
2870.569604269553,-3.138889944645679,-82088.80037197683
2864.2639655254475,-2.98752171700763,-82092.73547838269
2880.81830295509,-2.897690051511411,-82083.6817037309
2937.7463018732115,-2.973124979097951,-82068.48476970439
2794.0762866006503,-3.659813410426131,-82137.59720636872
2644.444149572446,-3.626900317320494,-82165.97428504624
2641.3176526157163,-3.612385542940707,-82162.37246965454
2630.3671491014916,-3.53318181758593,-82164.54264864449
2609.5281284409,-3.6020559551679474,-82174.36715876654
2590.6850664674025,-3.6964855745684146,-82177.16225840806
2616.8855275785654,-3.7507379677326322,-82165.63152553736
2544.2523258373417,-3.760643218449295,-82196.07273606397
2518.2908495329257,-3.788436883606556,-82202.94118213427
2494.137855720138,-3.710794705774583,-82209.9062068507
2440.829851703582,-3.6476983499282722,-82238.78132835054
2415.880746854689,-3.674590359685707,-82240.7716059408
2417.3237454501023,-3.6691791060812466,-82234.14365963641
2329.8670471141545,-3.995420131738208,-82265.09806257687
2213.9393426330535,-4.064077811704622,-82322.9979077931
2329.6973716887624,-4.171372647572723,-82251.94821710895
2225.5886210576555,-4.200376751670817,-82305.63647587349
2282.9055857388976,-4.225838856803363,-82281.81563685549
2262.201017703338,-4.222753412655789,-82291.08150578903
2260.8576276723848,-4.124110222448042,-82287.78078852945
2215.1225257333344,-3.7638668432227878,-82310.25331389923
2209.731543579235,-3.81916147745053,-82307.44306466616
2174.252715121499,-3.8573360802942744,-82317.81485378307
2141.258798418227,-3.855522842671216,-82329.7034957542
2176.2475375892272,-3.8750584967484953,-82326.09410556674
2323.0016309621697,-3.809681789929737,-82265.66238486221
2312.4488042262083,-3.7909225553558312,-82272.67285835331
2257.100150227477,-3.7461524889591993,-82291.590910805
2254.2406648218666,-3.700029100836641,-82293.03390940042
2315.8483725706783,-3.8084780690909223,-82271.38324937237
2365.4113975553573,-3.8124243076368916,-82252.3458938872
2346.792928276632,-3.7747334817702107,-82265.78358159463
2409.380814598917,-3.7468188755750895,-82240.95150734049
2431.2443263882733,-3.3914837687982513,-82239.23202869923
2453.939172014095,-3.341982295286005,-82228.70306256997
2451.95949913792,-3.235744598386849,-82233.44677842497
2514.8765103366914,-3.1662966602407474,-82205.52040009614
2500.4650826322063,-3.1481027454788295,-82206.91984361585
2459.272964460082,-3.0549869263954075,-82226.4419860307
2490.110715545588,-2.9712665974456636,-82214.67264709304
2516.6785542519087,-2.6206333249294214,-82212.2884801224
2679.8243097851982,-2.62122829513607,-85000.07713770891
2637.3420210524464,-2.5376604782609444,-82161.89336382168
2605.341538815256,-2.576643307089227,-82176.90282165271
2583.3420594417125,-2.5228532706001445,-82185.91114752986
2605.6816471456186,-2.4957261987002552,-82176.36122375469
2631.6639541384193,-2.46206667428739,-82168.12363334782
2624.416768279301,-2.486580278455419,-82170.56082388888
2644.68730051687,-2.582865895687105,-82157.22539592444
2607.7450215151234,-2.5400124133395616,-82170.62331595404
2558.3270538695638,-2.574806446251547,-82187.67039384894
2468.561936520743,-2.749252431185181,-82218.73273762921
2357.263947218208,-2.9437879060116914,-82258.5913130049
2449.2477875499144,-3.0467013194957513,-85059.64441749542
2377.5867455466346,-3.027319853787145,-82249.44474710483
2290.10656534378,-3.1359221543988154,-82277.67032986683
2255.505655716534,-3.344420394511547,-82286.74114780912
2305.6057337217626,-3.336163337263949,-82266.4350140314
2259.6998201379542,-3.3529553239240624,-82295.49382432882
2286.686545050713,-3.3445235150461667,-82281.81942425338
2277.4149950203378,-3.3563308844928343,-82280.1416069889
2255.4378612943347,-3.318226192356067,-82295.89907590285
2274.147985601955,-3.343712706230475,-82293.77055828967
2315.2707943927244,-3.304231752492148,-82273.36784586581
2284.3997142058024,-3.31401501931727,-82282.75112413388
2284.3629764462867,-3.3452352681529582,-82283.84378842464
2262.694136908385,-3.3640816216728533,-82286.53094722633
2197.947812529601,-3.3770728196527706,-82313.62220432081
2126.590206397131,-3.348609627483124,-82338.09068837768
