Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14
-1514.4413232604602,-2.659069172772754,38948.49252108867,-15866903962542.424,-525.1003940755338,-13985.96831985591,-12.935991985612475,-38974.674212175836,504.7813982068822,-477314.0951327113,15866903438452.576,-15866903461905.291,477829.3651037704,-485555.9666526208
-1629.517196778034,-2.645855665098326,38992.45112011492,-25986965265203.445,-560.978381172137,-13909.348132315748,3.429131888303914,-38973.42289198719,546.7053801482197,-778135.3356357523,25986964465597.555,-25986964489098.6,778709.3030852986,-761081.3147098914
-1653.6410405550632,-2.620361000112037,38990.933704270894,-29512686459076.75,-576.3462709246427,-13880.607507591229,8.973353868150639,-38973.10003568716,516.8242976090797,-266134.7000443322,29512685984406.363,-29512686007876.477,266650.0593307004,-436147.2916155759
-1676.6349311125973,-2.5883034053654943,39001.24441782226,-29215450929415.38,-568.3831250395384,-13855.18967002405,31.09080747545022,-38972.95074861712,537.7981228454297,-690525.7534994546,29215450371144.96,-29215450394627.836,691069.9607459661,-519806.25682013197
-1591.40753015762,-2.561876831859849,38974.39992019571,-11140464582728.754,-538.0549702413273,-13915.93368139184,41.55457752962627,-38971.922219437576,507.1640303640501,-200139.23921251018,11140464330296.295,-11140464353732.17,200657.45342146873,-213997.3876378468
-1475.4417198608128,-2.565120927337788,38924.731945437445,-13464702304454.91,-486.9300658858494,-13999.828105094899,12.552386455083933,-38968.97320809102,473.5441964818929,-523842.0992309028,13464701757465.629,-13464701780832.85,524293.6619801921,-508596.19188783685
-1423.3409707233777,-2.5287089024607847,38923.38371576205,-15387240766054.818,-494.8897053218629,-14023.246220946745,57.25452801102654,-38965.99307700879,451.6525581960379,-320925.605298126,15387240405897.545,-15387240429313.12,321403.25964519096,-321671.98166060454
-1382.83376953716,-2.476459245285533,38921.40958492395,-21815950140735.67,-484.337923395509,-14057.3186094804,79.17053611806233,-38961.61014713719,428.23123149434105,-476596.91348524345,21815949626392.25,-21815949649823.3,477085.62681496434,-475823.7213236135
-1281.8380423435126,-2.4163012474862966,38859.978350078476,-23657984511611.477,-455.64991015949835,-14138.855188348958,1.659076387290554,-38956.3914551248,408.1787257565869,-486463.7353245805,23657983987613.414,-23657984010944.67,486848.9778552252,-485498.41257763194
-1337.9093191088637,-2.395069231677811,38891.34704364437,-22099004017138.184,-462.46557057965305,-14099.124464482084,36.32067629431111,-38951.03154087529,425.8477227249005,-472141.6999592542,22099003507993.332,-22099003531385.9,472582.60382676794,-470647.2806480166
-1276.3395795242998,-2.3863798502492046,38865.19419310097,-21916814292319.566,-439.6043991202043,-14162.302886168187,18.061719266478008,-38944.12015439496,406.6104664007469,-506458.9726251071,21916813744173.242,-21916813767496.76,506863.7330454883,-509690.61080031696
-1324.0116834601115,-2.456365227181639,38891.91947145843,-22617720801358.297,-455.2203701458809,-14152.038513688478,6.319322551358312,-38938.70979110915,437.9739002930033,-549919.8753524632,22617720179353.355,-22617720202743.56,550388.642908627,-583491.9187686641
