Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Close
8502779363871.956,748177430993.7382,-21712129941028.895,-7499945042778.175,11118624360736.62,16374300526946.545,2892357213961.1265,667319616008.5157,-6274285771335.977,-17810081253040.1,5249823745932.873,823.2883333333333
11077244880018.988,974710029993.9441,-28286114424065.918,-9770773191154.777,14485113434450.496,21332100409846.66,3768103171049.952,869370359883.2269,-8174010044981.495,-23202605630816.04,6839362131647.98,823.2099999999999
7877738354035.308,693178749752.8921,-20116067335863.742,-6948622622929.477,10301292049940.979,15170622684890.121,2679739485609.866,618264877258.7311,-5813061913902.458,-16500858861787.727,4863908279444.082,832.9566666666666
9809311003262.617,863141882997.6934,-25048402478836.25,-8652381850300.025,12827105014868.332,18890365429298.207,3336795014339.8735,769859604478.644,-7238388723525.835,-20546767230346.438,6056508514144.878,845.3383333333334
10267504165076.285,903459258980.259,-26218413987603.703,-9056534819103.58,13426259390285.068,19772734874574.02,3492656793954.3433,805819769753.6035,-7576494054696.842,-21506507224111.633,6339408199595.858,837.3966666666668
11736878951083.6,1032752635586.0461,-29970511491526.027,-10352608701446.523,15347681256517.312,22602396090417.883,3992488279807.0454,921140032092.6084,-8660760422033.404,-24584287288527.652,7246636142796.76,855.9266666666666
9772758158703.303,859925524426.6494,-24955063563231.613,-8620140121952.04,12779306854132.346,18819973466437.977,3324360974846.749,766990840174.6289,-7211416001670.038,-20470202963680.36,6033939876115.235,875.4916666666667
12117977788738.41,1066286300485.1736,-30943660133591.973,-10688759981588.389,15846023461009.906,23336300515960.14,4122125191017.339,951049667171.3705,-8941977156347.854,-25382544008729.836,7481936018128.913,781.3866666666668
11032564651145.367,970778538412.5128,-28172020669038.38,-9731362493992.393,14426687519639.73,21246056226867.074,3752904380084.8765,865863561940.9695,-8141039618110.664,-23109016776725.453,6811775093870.748,773.7366666666668
9915132441656.041,872453290495.6619,-25318621971178.645,-8745722560798.592,12965481813815.043,19094152584885.168,3372791949725.609,778164901037.7213,-7316475830737.939,-20768423222411.52,6121845685485.38,770.495
9585930857070.758,843486182127.6997,-24477993387121.957,-8455347519624.671,12535002800225.586,18460188895233.55,3260808633240.766,752328121006.0137,-7073554181233.621,-20078870617467.152,5918588109286.704,765.2683333333333
13437420461284.604,1182386837453.766,-34312901441917.684,-11852585093225.729,17571387257716.531,25877228960404.426,4570954886107.587,1054602931617.1947,-9915607246101.455,-28146273766753.19,8296592297177.419,759.3116666666666
11516877039099.982,1013394200991.5671,-29408729282556.984,-10158554236258.605,15059996646082.936,22178725509569.363,3917651089256.4966,903873728761.3773,-8498418822525.237,-24123467132514.855,7110801601129.108,765.705
14462700765690.926,1272603428413.4119,-36930988180977.85,-12756941797217.05,18912090878458.9,27851670926059.41,4919720434187.877,1135069421330.6387,-10672171573383.727,-30293844805090.457,8929625176417.783,750.1066666666667
18446406334465.113,1623138083778.6738,-47103513236713.37,-16270801472423.574,24121367145458.234,35523326457683.52,6274842009951.197,1447720725245.7532,-13611787741091.977,-38638189597650.93,11389262340848.146,739.5033333333333
11224135859952.877,987635288430.5929,-28661204970798.105,-9900339522922.346,14677194852033.03,21614976681170.99,3818070468441.8013,880898665040.2616,-8282402192311.128,-23510285981938.9,6930056049694.263,735.58
12525225753342.744,1102120935687.8718,-31983581253649.7,-11047976357281.951,16378559728200.404,24120561717058.05,4260657128044.273,983011471886.0724,-9242489374413.96,-26235573310017.78,7733380690663.293,722.635
9665136990284.115,850455706193.2003,-24680249370665.62,-8525212001122.922,12638576452988.271,18612721102377.19,3287751906297.791,758544469612.4753,-7132001295239.19,-20244777647163.21,5967491972258.627,711.5566666666667
9450701082205.236,831587010624.9125,-24132680201026.695,-8336067048989.117,12358170077887.59,18199769346739.37,3214808089412.7007,741715034908.3848,-6973767000961.124,-19795616069250.41,5835094159543.893,708.3449999999999
12289176475000.883,1081350431968.1244,-31380821668994.242,-10839767160327.38,16069890709883.049,23665987857049.914,4180361178892.6206,964485773274.2905,-9068306378685.441,-25741139980833.066,7587638276312.585,699.1766666666666
10943640334535.684,962953884544.4819,-27944950315772.066,-9652926167669.814,14310405972094.84,21074810010267.04,3722655403660.855,858884680525.9607,-8075421780831.194,-22922754730699.47,6756871319601.613,656.8183333333333
13674811736735.488,1203275408421.7979,-34919087292481.44,-12061977915246.822,17881811005981.176,26334386817936.09,4651707300589.884,1073233900898.0765,-10090780398272.033,-28643517597457.12,8443163256586.3125,680.3966666666666
9012290927350.928,793010402494.4231,-23013185273194.508,-7949363868346.462,11784884970865.344,17355497203564.852,3065675816266.3276,707307471451.3318,-6650259693945.315,-18877314035802.555,5564408891224.061,656.2783333333333
11987454712182.117,1054801317614.3452,-30610365071819.902,-10573631067182.389,15675345584817.87,23084944546167.82,4077725660846.5234,940805862708.3551,-8845662809866.396,-25109147975399.355,7401347783884.257,667.9449999999999
13697360352726.783,1205259513820.0674,-34976666128406.234,-12081867134818.32,17911296649428.016,26377810134664.613,4659377587870.47,1075003592298.2189,-10107419289977.734,-28690748508722.73,8457085340465.029,664.7133333333334
6858232441081.982,603470260603.5013,-17512725081145.383,-6049359192036.911,8968139255492.701,13207300404045.104,2332938147199.5596,538251497910.3505,-5060758379868.992,-14365382558831.838,4234440507896.0522,662.8216666666667
7051355136575.287,620463532708.3339,-18005870245243.957,-6219704613902.635,9220675345980.092,13579208056772.92,2398631935401.757,553408247330.4851,-5203265526979.557,-14769900937373.865,4353679167167.8325,656.5633333333333
5884104835815.876,517754733060.9397,-15025257746943.719,-5190122089203.682,7694325360764.072,11331365721530.547,2001572959434.966,461799480150.72845,-4341939835373.508,-12324956582789.46,3632990244482.5054,651.2666666666667
7037932135689.192,619282410174.3639,-17971594310205.266,-6207864759825.964,9203122800102.896,13553358691466.475,2394065896242.3896,552354799132.1769,-5193360617437.153,-14741784944217.932,4345391533250.4316,640.27
