Feature_1,Feature_2,Feature_3,Feature_4,Close
4199490395942.763,369521926136.3335,-10723539232060.145,-3704194357426.005,702.032142857143
10341031065997.902,909929019004.7542,-26406167412289.023,-9121389784238.523,663.5216666666668
9565231218140.344,841664746200.6884,-24425136654311.97,-8437089255522.4375,671.8862068965517
11479381290425.422,1010094842306.7549,-29312982696480.207,-10125480778005.312,656.9283333333333
15176089105204.041,1335375916336.8835,-38752648850586.09,-13386191638589.367,667.1483333333333
17362862110807.545,1527794661252.758,-44336647555226.54,-15315052510418.254,675.2283333333332
20420875642083.83,1796875699870.0415,-52145386542105.14,-18012397946719.332,686.8266666666666
16875493226871.223,1484910056816.912,-43092134372592.56,-14885164805352.908,684.2466666666667
13844983368560.512,1218249159200.6387,-35353626357824.96,-12212079180586.75,689.1583333333333
22103710326774.52,1944951929861.8062,-56442560700893.62,-19496755905545.566,704.5033333333333
16976994851230.16,1493841437654.6272,-43351322078931.85,-14974695174640.463,700.705
15391872304031.188,1354363138059.4463,-39303658913339.51,-13576525013948.531,687.2283333333334
14486591942177.832,1274705645033.5767,-36991995225963.016,-12778015194460.451,661.9
15796426901110.953,1389960740302.4197,-40336702557311.414,-13933365648990.553,682.5733333333334
15862685683510.885,1395790991965.7708,-40505896554479.71,-13991809743679.895,685.9416666666667
13375359587158.63,1176925913165.424,-34154426398829.277,-11797843656993.822,681.5483333333334
14222390923949.193,1251458047191.857,-36317348268730.055,-12544974456685.348,682.9633333333334
12121214014395.115,1066571012025.5643,-30951925005378.312,-10691614585643.562,684.5483333333334
14996215203077.773,1319548441271.9678,-38293335352869.99,-13227532485665.912,687.765
17684597246707.418,1556104864725.178,-45158208292727.72,-15598841569689.812,677.985
12751302087963.475,1122013805663.036,-32560874895930.887,-11247388753257.006,675.5699999999999
13549740223410.117,1192270054491.698,-34599712316585.06,-11951657427891.766,680.5566666666667
14514509307816.416,1277162099529.3086,-37063284265692.88,-12802640000398.541,697.9366666666667
18016306486552.613,1585292559161.4211,-46005238963160.87,-15891428258201.709,697.5483333333334
16504327436433.072,1452250381766.3289,-42144350486256.3,-14557775045245.766,671.5616666666666
16690165635161.105,1468602687901.7727,-42618894207244.64,-14721695104558.088,661.8166666666667
24668752878908.383,2170655388811.4478,-62992482501809.14,-21759272357884.105,674.535
17565873865178.496,1545658082080.8337,-44855044399243.94,-15494120597868.055,671.1933333333333
19952713376757.637,1755681162311.7678,-50949918452613.62,-17599451685885.043,680.7
19396605652828.117,1706748044453.8252,-49529878956491.05,-17108932357163.111,686.11
21015423476766.29,1849191146519.0251,-53663584471501.61,-18536823597591.418,686.9766666666667
21017281161349.867,1849354640219.7456,-53668328037663.82,-18538462214065.152,695.6566666666666
19031938127691.305,1674660196957.2314,-48598688112478.086,-16787274424577.613,703.8766666666667
19996306114806.508,1759516968294.9556,-51061234110211.375,-17637903016383.953,706.6066666666667
21527757150989.87,1894272594913.4832,-54971845150632.055,-18988731766287.992,718.2716666666666
23526107565866.36,2070111546777.7322,-60074699565464.38,-20751392734650.414,711.2116666666666
28020592329768.008,2465590781728.3765,-71551516559279.5,-24715789406579.55,686.8133333333334
18155998795459.13,1597584476986.531,-46361947875143.26,-16014645108220.533,683.3416666666667
19398110287262.73,1706880442604.8694,-49533721067885.055,-17110259532165.064,666.5366666666667
20002303707567.58,1760044741954.602,-51076548887214.305,-17643193250472.516,651.3666666666667
22750083817118.9,2001827646619.677,-58093097147803.22,-20066894819857.44,632.4666666666667
26172437442667.492,2302967762461.6836,-66832191217666.99,-23085609472623.277,604.2816666666666
21201785230597.58,1865589639411.6184,-54139464832596.28,-18701205584334.793,582.5333333333333
20913831992439.625,1840252052803.6184,-53404166770859.01,-18447214156227.984,585.0566666666667
18336907297318.51,1613502996864.853,-46823903893740.18,-16174216927867.666,596.55
22675436062286.477,1995259281123.6843,-57902481468660.984,-20001051209605.387,609.4016666666666
17674513548049.625,1555217548762.3774,-45132459331077.94,-15589947134400.566,602.425
19998198523662.234,1759683469502.8035,-51066066402203.75,-17639572205257.793,610.2099999999999
27689958438270.484,2436497519362.9336,-70707231903804.27,-24424150996439.47,614.2916666666666
26407121786679.01,2323618052304.841,-67431465659433.34,-23292614605095.594,640.3
27302404590707.508,2402395889834.9214,-69717600069612.55,-24082306042546.473,657.3216666666667
25952634608816.98,2283626864838.022,-66270916585691.2,-22891730535657.824,638.9433333333333
21823161070925.887,1920265742718.3904,-55726169735737.16,-19249295194614.24,639.2516666666667
24482083807738.688,2154229997345.6282,-62515816757052.555,-21594619408482.734,629.8816666666667
21934779165450.715,1930087313871.7864,-56011189372721.01,-19347748804481.465,618.51
25385136125935.33,2233691478658.956,-64821791003136.55,-22391164007737.793,627.2333333333333
25887817438826.484,2277923434272.5933,-66105404500252.36,-22834558075751.19,639.5833333333334
19648803358270.645,1728939399714.1226,-50173874360998.945,-17331385329437.54,637.1
19110814138175.0,1681600625545.3733,-48800100854743.47,-16856847623736.906,642.9866666666668
19303691236915.51,1698572315134.564,-49292618891462.3,-17026976453540.45,655.285
30241002903252.535,2660969334469.1997,-77221408727402.88,-26674320376111.824,680.3183333333333
22718037120885.895,1999007768286.2732,-58011264924137.586,-20038627754150.14,682.9616666666666
24342933523846.742,2141985751564.7004,-62160492269454.63,-21471880670088.41,675.1416666666667
24422195652606.61,2148960228274.1523,-62362890649870.445,-21541794503366.98,681.5566666666667
23980590757654.3,2110102436134.6995,-61235237936545.77,-21152273292516.46,677.9533333333333
17619568743620.54,1550382783521.97,-44992156232440.29,-15541482588347.906,663.9133333333334
21706422612303.08,1909993630257.2908,-55428073734609.516,-19146324973045.418,681.5883333333334
20129092429925.83,1771201039117.9028,-51400308526560.484,-17755028172745.383,678.9466666666667
25655526295833.41,2257483586423.0254,-65512239756061.82,-22629663523396.44,672.42
23721800498953.52,2087330927480.6682,-60574410215985.69,-20924005472120.723,682.5316666666666
20376019033883.504,1792928591669.2458,-52030843908230.12,-17972831733000.707,676.2733333333333
19114399893760.375,1681916061296.9905,-48809257562257.516,-16860010404513.037,679.45
25153259462756.984,2213288055939.94,-64229686359862.8,-22186635202898.312,669.5633333333333
24605818516988.926,2165117506437.6057,-62831777692029.17,-21703760413640.625,677.2033333333333
25336186719576.03,2229384143883.082,-64696797670556.664,-22347987635617.855,675.955
20362903466309.414,1791774558700.5613,-51997352844828.56,-17961263081866.105,678.745
23210372091858.973,2042329287122.3828,-59268459184717.63,-20472895755637.035,676.6416666666667
18612623156577.508,1637763715174.8674,-47527953736721.445,-16417414219332.092,673.9333333333333
26375280645658.477,2320816197511.0757,-67350158542343.555,-23264528793670.137,682.605
26537398448354.86,2335081287132.8384,-67764131675361.24,-23407526103531.78,664.3883333333334
18882056270316.434,1661471683123.6094,-48215960265196.44,-16655069857776.973,664.6033333333332
19023360516153.21,1673905314826.656,-48576785406745.64,-16779708378173.582,659.8333333333334
27101552989688.145,2384722482656.1226,-69204718973520.66,-23905143218723.41,645.6933333333333
27236694769822.895,2396613900979.0854,-69549807933732.37,-24024346117758.836,633.2866666666666
26328295022691.12,2316681813109.081,-67230179301974.83,-23223084732788.76,616.35
18672113359300.37,1642998345816.6035,-47679864066569.15,-16469887997254.113,617.8033333333333
23343867124234.133,2054075768288.162,-59609343003922.305,-20590646065116.016,609.2483333333333
37067327689364.43,3261631902993.971,-94652656794639.73,-32695535100825.97,641.4566666666667
34095272827063.28,3000114555267.4697,-87063415907942.27,-30074010182813.816,625.3266666666666
29906013036721.582,2631492792317.9883,-76366001189877.88,-26378839788864.574,583.9733333333334
25832158425231.68,2273025787995.912,-65963277677282.32,-22785463511737.492,566.9766666666667
22920450288513.93,2016818381245.2017,-58528134229756.78,-20217167793285.71,585.0166666666667
15286931465151.088,1345129099463.3113,-39035689203064.984,-13483961030691.92,585.6916666666667
11914751149883.914,1048403875462.594,-30424714238023.92,-10509502185078.195,563.3816666666667
10455364252222.498,919989333386.5514,-26698121469589.133,-9222238213679.162,526.455
12605654331247.201,1109197877906.1396,-32188958718044.766,-11118918902716.865,494.2683333333333
8235602458123.248,724667877313.1356,-21029885481154.01,-7264279455180.952,509.8
8917289390127.441,784650940417.2549,-22770595777316.207,-7865566906573.643,525.12
9694901134363.771,853074626343.0311,-24756253305681.383,-8551465611486.693,514.9
5985533769924.501,526679634456.5346,-15284259996139.58,-5279588251561.994,503.9633333333333
5272804422201.31,463965082015.77356,-13464281686727.773,-4650919563417.013,499.3283333333333
7203597599915.704,633859633068.126,-18394626727294.73,-6353991296215.043,507.03333333333336
6865829935294.811,604138733972.7444,-17532125371175.61,-6056060541908.499,498.44
8311547947647.321,731350491137.2765,-21223815035829.457,-7331267827450.787,485.6933333333333
5027570594315.504,442386440200.951,-12838069104806.217,-4434609106660.207,487.7133333333333
8732983847203.234,768433552372.7861,-22299965231716.5,-7702998749538.388,504.0066666666667
7620863886189.105,670575778425.2064,-19460129962707.78,-6722044382667.093,516.1716666666666
8311569387533.873,731352392969.1085,-21223869482943.484,-7331286721580.205,501.42
7114349314003.134,626006474753.4877,-18166728144883.75,-6275269093712.502,477.9566666666667
8169764913990.194,718874712231.6909,-20861767039367.336,-7206206933509.382,468.0
6330715725678.792,557052924975.9777,-16165693280447.2,-5584058742690.607,474.7433333333334
4928128890235.203,433636345478.9037,-12584141760329.518,-4346895781061.01,465.32
7252307729499.749,638145732060.661,-18519009541924.973,-6396956433117.038,465.53333333333336
6293266685512.32,553757681690.1208,-16070066296525.914,-5551026531984.118,460.25166666666667
7001579056290.979,616083600241.0443,-17878765491261.31,-6175799196299.784,450.65333333333336
7581939063287.51,667150709733.1765,-19360733981544.336,-6687710421100.452,414.67
10714636882106.043,942803372307.9788,-27360182356954.734,-9450931801782.072,395.68666666666667
7935607203433.387,698270629333.6078,-20263837764407.1,-6999666195731.169,410.2
8598220795914.594,756575409850.0037,-21955843532218.25,-7584129866476.601,421.0683333333333
9965139622212.447,876853475687.3762,-25446316292212.246,-8789831644775.497,452.35833333333335
14938531169340.113,1314472655114.9963,-38146037133984.94,-13176651742049.834,469.5833333333333
11303979573361.596,994660838504.7605,-28865088878101.04,-9970766267287.975,478.265
7713878864006.611,678760320688.8215,-19697646893567.48,-6804088950175.521,475.465
7426823536009.304,653501718316.244,-18964641509384.926,-6550889477711.212,485.7133333333333
8819659200936.418,776060240450.4263,-22521293619632.84,-7779451365055.006,486.155
10156787443293.414,893716975905.9528,-25935695678811.05,-8958876194111.752,476.9866666666667
9698385215404.416,853381199815.4432,-24765149953598.715,-8554538767084.205,448.9866666666667
7432390304521.474,653991566025.5254,-18978856487836.273,-6555799718057.717,473.4333333333333
8934888159471.666,786199529584.957,-22815534706075.99,-7881090076744.907,486.04
9209353927574.861,810350380388.4773,-23516391935294.49,-8123184829809.035,482.3466666666666
8747795396997.522,769736826756.4045,-22337787314293.777,-7716063400304.706,488.6683333333333
7472996920009.058,657564644568.0576,-19082546704441.94,-6591617117248.111,499.89666666666665
7268310937327.347,639553892278.2715,-18559874245534.19,-6411072194821.656,502.0066666666666
10146331752776.09,892796970890.3318,-25908996337457.8,-8949653637309.12,494.10833333333335
8601336899687.948,756849657392.2421,-21963800478123.695,-7586878507643.696,492.75166666666667
8428767332006.827,741664824455.433,-21523138515147.113,-7434662053553.547,489.9216666666667
7028601789595.442,618461351508.3131,-17947769062937.945,-6199634783995.802,490.0083333333333
8770650993690.338,771747941263.9655,-22396149684340.26,-7736223347410.562,490.9933333333334
9434942731070.834,830200325921.3713,-24092440902168.734,-8322167192230.853,494.4183333333333
11116103739869.492,978129226544.7169,-28385341530849.16,-9805048825675.465,501.3716666666666
9343970115680.863,822195489712.1396,-23860139171628.555,-8241924094430.637,502.6266666666667
7869896194259.144,692488613636.5586,-20096042093592.62,-6941705263329.639,503.6566666666667
7826995948305.609,688713754114.1361,-19986495307336.504,-6903864838512.378,510.6383333333333
10658968551102.908,937904979870.3807,-27218031449782.195,-9401829080513.926,520.8716666666667
12943278425596.684,1138906177892.9802,-33051092964560.535,-11416723002679.06,516.7916666666666
9482468954982.072,834382295083.1433,-24213800566452.47,-8364088113482.845,514.4633333333334
9427645672558.709,829558280964.9108,-24073807521825.742,-8315730801646.191,524.3316666666666
8912026937075.36,784187894840.8876,-22757157876491.33,-7860925122567.559,525.935
11473444404585.115,1009572425571.0254,-29297822360984.285,-10120244039255.592,509.9216666666667
