Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Close
7235660612336.622,636680967852.8629,-18476500474335.832,-6382272763566.241,9461681683619.611,13934135956113.861,2461326412548.707,567873006425.6461,-5339266374966.8545,-15155950726470.924,4467473849716.995,-726943314892.8335,658.8783333333333
8028242481914.559,706421910157.073,-20500384696130.31,-7081375990442.414,10498098075443.098,15460457349957.734,2730935893552.091,630076845111.8494,-5924120478862.721,-16816107601103.777,4956833299861.021,-806571431350.9965,662.4599999999999
7777506397117.012,684359120904.2292,-19860121716621.598,-6860212208833.346,10170224099636.348,14977600144880.4,2645643975486.874,610398431062.406,-5739099784878.497,-16290911091695.604,4802022669997.131,-781380818414.3328,665.6566666666666
9523065206069.043,837954483165.5461,-24317464411574.875,-8399896410556.528,12452796726919.705,18339125191062.523,3239423911858.259,747394355155.5157,-7027165214455.349,-19947191330173.184,5879773541623.519,-956751332167.4117,676.4566666666667
8661119675845.815,762110101137.679,-22116457709301.984,-7639610419087.461,11325677302619.695,16679226085439.965,2946219258888.05,679746657375.4762,-6391126908446.037,-18141744056202.84,5347587182779.652,-870154534031.6661,701.075
10372385178857.014,912687942291.727,-26486231222398.035,-9149045948584.818,13563406523037.893,19974710444478.77,3528333766879.199,814051125536.9321,-7653886882192.022,-21726192926377.605,6404164413876.6,-1042079789507.7811,739.2549999999999
7554092619473.128,664700474439.3599,-19289627195526.637,-6663148287290.678,9878078005212.17,14547359133525.354,2569646183078.8496,592864350241.9803,-5574240519090.517,-15822944404121.822,4664081531489.015,-758935164015.9268,722.3566666666667
11133083687242.332,979623413636.436,-28428700181702.027,-9820026212176.523,14558130834261.432,21439632153419.29,3787097604981.9165,873752658807.0343,-8215213884248.647,-23319566350289.066,6873838222700.707,-1118504735102.757,756.4316666666667
12207042895329.225,1074123340343.9474,-31171090809685.355,-10767320590172.05,15962489143639.898,23507818387301.973,4152422116254.505,958039703169.17,-9007699138514.846,-25569101488747.87,7536926919805.596,-1226401922301.929,781.765
8942667752061.193,786884135873.7268,-22835399994771.6,-7887952193112.37,11693842616425.64,17221419652293.014,3041992357266.13,701843221610.65,-6598883935216.33,-18731480007352.703,5521421688177.504,-898440865278.1066,794.3016666666666
