Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Close
11991063269758.412,1055118813418.7384,-30619579689960.39,-10576813992430.682,15680064183204.256,23091893783269.348,4078953174198.8867,685.9416666666667
10110821475338.652,889672365080.946,-25818319549531.887,-8918331520921.846,13221373667139.42,19471001851093.727,3439358662292.068,681.5483333333334
10751116981003.348,946013362600.0536,-27453334798966.25,-9483109318870.586,14058653654961.459,20704056021304.6,3657165432012.341,682.9633333333334
9162776534365.82,806251900974.3213,-23397456046557.88,-8082100944961.071,11981666687960.488,17645296654985.76,3116865973911.039,684.5483333333334
11336073152728.506,997484862431.0133,-28947040632826.23,-9999074690314.295,14823569099514.016,21830540921667.336,3856147744666.468,687.765
13368298957464.4,1176304710285.8933,-34136396798803.5,-11791615866884.473,17481000901339.312,25744117239181.387,4547442048583.303,677.985
9639078347717.145,848162713533.0138,-24613707841519.793,-8502226725709.387,12604500814693.457,18562538497787.55,3278887647902.2305,675.5699999999999
10242640845906.268,901271445661.2748,-26154924064017.88,-9034603802639.85,13393746771016.14,19724853725780.812,3484199096330.0845,680.5566666666667
10971937723032.71,965443799791.9067,-28017209410947.58,-9677886161754.97,14347408848254.432,21129304446787.316,3732281270585.7456,697.9366666666667
13619047573525.16,1198368533377.791,-34776691800749.33,-12012790613950.299,17808890910447.492,26226998603552.16,4632738240671.323,697.5483333333334
12476098843766.312,1097798100443.519,-31858134443708.055,-11004643546326.387,16314318895497.52,24025955400121.715,4243945850986.2563,671.5616666666666
