Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Close
16407819490372.732,1443758475913.1252,-41897913884217.32,-14472649431393.34,21455617193001.16,31597500268964.37,781.3866666666668
14938163154589.018,1314440354743.2705,-38145096308577.66,-13176327105104.693,19533827243539.25,28767296122353.867,773.7366666666668
13425152790510.934,1181307339706.2954,-34281576207719.195,-11841764326703.154,17555345365007.086,25853604817264.363,770.495
12979411737837.957,1142085689564.1992,-33143359724233.99,-11448594662329.04,16972474025208.66,24995213923618.62,765.2683333333333
18194353314452.863,1600959346101.7424,-46459888181437.984,-16048476081930.248,23791770817403.34,35037933646647.26,759.3116666666666
15593925227853.059,1372142234648.478,-39819607687172.516,-13754747458490.371,20391331854411.094,30030136300936.81,765.705
19582589409205.168,1723113187716.992,-50004794383903.484,-17272980847716.166,25607092101427.582,37711340706098.26,750.1066666666667
24976552248119.12,2197739354774.1946,-63778458421389.625,-22030769339362.742,32660485510337.797,48098811400440.3,739.5033333333333
15197551797518.143,1337264502163.9753,-38807454984317.82,-13405123083859.396,19873015775040.258,29266816778857.316,735.58
16959235841148.643,1492278801346.9314,-43305973737074.16,-14959030703344.777,22176674707420.668,32659394955128.6,722.635
13086657349189.297,1151522469759.2263,-33417215620546.68,-11543191617464.334,17112713414000.744,25201743508415.09,711.5566666666667
12796309757094.996,1125974135185.5342,-32675803459989.81,-11287088141601.326,16733041387296.96,24642604188071.17,708.3449999999999
16639623607375.992,1464155406363.1218,-42489833401323.61,-14677114117968.553,21758734880898.754,32043899039053.645,699.1766666666666
14817759060715.172,1303845723322.1257,-37837641596829.34,-13070123817210.832,19376381283871.715,28535427648969.312,656.8183333333333
18515782620900.953,1629242604895.4512,-47280667703159.13,-16331995303222.662,24212086559505.52,35656928311908.64,680.3966666666666
12202699601258.53,1073741160856.7523,-31160000162072.504,-10763489559812.023,15956809682921.197,23499454302218.82,656.2783333333333
16231090409266.975,1428207735593.2593,-41446630237232.02,-14316764144373.604,21224518256166.855,31257162676993.145,667.9449999999999
18546313591281.73,1631929096304.5154,-47358629815550.36,-16358925433828.844,24252010309463.434,35715723760701.84,664.7133333333334
9286090623211.713,817102595533.0863,-23712341854842.754,-8190871066590.907,12142917954957.672,17882769284004.414,662.8216666666667
9547579989044.113,840111594733.101,-24380063563542.312,-8421519858139.415,12484853437903.703,18386334626294.21,656.5633333333333
7967115610512.06,701043222594.8524,-20344295162620.797,-7027458529573.358,10418165788101.959,15342741716448.277,651.2666666666667
9529405159926.768,838512347262.0085,-24333653728107.465,-8405488619935.389,12461087178436.129,18351334420213.375,640.27
14746628865143.354,1297586852157.789,-37656008196814.766,-13007382877243.438,19283368298206.21,28398448006746.758,628.8083333333333
10832658657816.09,953188360682.6191,-27661554893700.36,-9555033866468.48,14165281214027.209,20861086068747.94,628.565
16981705757087.975,1494256014449.2173,-43363351332576.14,-14978850513509.54,22206057590471.39,32702666529343.89,673.0383333333334
12912278603814.188,1136178542984.659,-32971933562601.016,-11389379457677.559,16884687893279.99,24865932048907.656,681.24
15809379359303.05,1391100506763.8848,-40369776953771.81,-13944790521169.736,20673069608388.957,30445048931645.2,662.7
13869066543583.215,1220368330792.2397,-35415123334930.5,-12233321968620.9,18135827708605.78,26708474622267.46,660.355
12510268006332.611,1100804744835.837,-31945386293526.3,-11034782738146.094,16359000199983.748,24091756793155.33,667.635
13235893946360.957,1164654131571.8855,-33798296154856.156,-11674826976560.258,17307862130395.152,25489137114454.863,695.1633333333334
13273367622700.406,1167951493219.0293,-33893985589113.01,-11707880795608.725,17356864243410.012,25561301826582.46,684.3033333333333
21258546516628.26,1870584221074.5386,-54284407661480.73,-18751272506283.777,27798650769376.777,40938830209899.47,704.5949999999999
