Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Close
17247299085049.205,1517626066627.5105,-44041552943222.29,-15213119191631.986,22553359309201.285,756.4316666666667
18911069536019.86,1664024723569.9155,-48290046235612.18,-16680661331605.023,24728981846933.605,781.765
13853921309759.646,1219035661453.5032,-35376449553494.14,-12219962991841.791,18116023082634.83,794.3016666666666
16739684595538.953,1472960050314.689,-42745342236483.45,-14765373779529.668,21889579565661.0,796.0483333333334
12373925965049.09,1088807723157.397,-31597232309732.426,-10914521138198.193,16180713111942.254,802.5533333333333
17646961927316.895,1552793226608.7075,-45062105356831.39,-15565645010037.531,23075976703814.355,800.4816666666667
9484972964569.18,834602676441.6941,-24220194163521.996,-8366296800343.121,12402985647184.703,788.68
13544021282482.953,1191766855277.704,-34585109823769.637,-11946613145395.484,17710783348123.992,783.2466666666667
14463135014431.07,1272641605216.6406,-36932097510483.56,-12757324842980.654,18912658630717.324,788.4666666666667
16856541855222.566,1483242577818.67,-43043741135876.65,-14868448682143.879,22042387537293.82,808.6783333333333
15448075140577.656,1359308600183.2861,-39447174539245.94,-13626099229985.895,20200611709955.727,827.2816666666665
17688135452200.82,1556416250221.8154,-45167243037016.37,-15601962517711.336,23129817481126.79,845.0100000000001
14051447039905.143,1236416365363.0488,-35880838163764.164,-12394192164061.783,18374316790061.688,859.6850000000001
14751593993411.889,1298023782122.123,-37668686648923.46,-13011762438089.361,19289861127864.473,833.3616666666668
18095516859716.67,1592262529620.8027,-46207504747926.945,-15961296449082.559,23662527731219.656,838.9233333333334
22363346652525.836,1967797819752.7588,-57105551453771.02,-19725770238564.566,29243337651078.477,824.5133333333334
12611659890891.088,1109726466362.9763,-32204293044056.594,-11124216215910.422,16491585032535.982,823.2883333333333
16430209344076.998,1445728609959.6113,-41955087799514.5,-14492398671599.383,21484895267596.16,823.2099999999999
11684574252586.424,1028150239040.8522,-29836949628509.438,-10306472916713.656,15279285303180.574,832.9566666666666
14549559484369.41,1280246305367.2788,-37152784913541.73,-12833556237593.803,19025671361016.746,845.3383333333334
15229169771057.43,1340046637920.393,-38888192429782.87,-13433011964753.031,19914360915517.21,837.3966666666668
17408604784050.22,1531819706715.4587,-44453452396187.71,-15355400197832.215,22764290103002.03,855.9266666666666
14495342854265.447,1275475674653.5725,-37014340928602.875,-12785734026194.672,18954775231549.508,875.4916666666667
17973865708700.117,1581558169693.7952,-45896865093589.445,-15853993120876.895,23503451043604.81,781.3866666666668
16363937854921.873,1439897265575.9631,-41785859412830.05,-14433943161065.166,21398235631390.81,773.7366666666668
14706518042632.53,1294057354607.112,-37553585191600.414,-12972002884790.582,19230917322416.29,770.495
14218233183922.357,1251092189556.3088,-36306731504942.305,-12541307096581.707,18592413760554.574,765.2683333333333
19930915459089.43,1753763095017.289,-50894257552282.5,-17580224727310.645,26062579119369.867,759.3116666666666
17082289214688.012,1503106508045.036,-43620194722541.01,-15067570911604.057,22337584868469.207,765.705
21451651907566.863,1887575924094.4602,-54777507734943.16,-18921602491297.707,28051163952128.504,750.1066666666667
27360442150002.41,2407502840253.3506,-69865800720600.84,-24133498652724.316,35777769306165.266,739.5033333333333
16648083876707.738,1464899866372.251,-42511436988554.32,-14684576598326.012,21769798051291.12,735.58
18577912056494.418,1634709523168.97,-47439317381043.62,-16386797109268.607,24293329975417.16,722.635
