Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
10659548582293.598,937956029789.516,-27219512594812.008,-9402340719256.65,13938914456134.236,20527717884990.977,3626017025985.0317,836588468250.2529,-7865787709599.218,808.4783333333332
11000444246829.416,967952139254.3147,-28090000984142.23,-9703030460961.227,14384685173393.53,21184200629473.16,3741978172158.553,863342835795.4874,-8117338067694.652,856.995
16600514806485.453,1460714130971.8044,-42389967930934.13,-14642617891219.021,21707594350724.633,31968585038648.33,5646932320409.493,1302850584502.5427,-12249686198768.701,840.6766666666666
11768573155406.77,1035541463928.469,-30051443765553.81,-10380564823389.965,15389126009157.531,22663431520326.34,4003269578601.9175,923627493067.5815,-8684147939700.344,829.555
11978404169117.04,1054004924086.57,-30587254161426.977,-10565647934297.822,15663510600059.27,23067515353392.504,4074646970836.6885,940095564348.376,-8838984353656.28,777.7616666666667
11369010752504.738,1000383138182.4337,-29031147584927.984,-10028127563477.389,14866639920264.812,21893970591061.2,3867351975985.9824,892268777851.8915,-8389306732152.503,758.4449999999999
10166891170536.545,894606099296.0516,-25961495623016.105,-8967788335178.543,13294693196328.76,19578978703263.598,3458431683370.6763,797923451148.4723,-7502250825545.056,809.33
12924690948658.027,1137270716371.8235,-33003628995865.17,-11400327858888.514,16900918746160.297,24889835303194.047,4396541646654.8135,1014362521070.4244,-9537258753761.432,850.6383333333332
13273475764823.877,1167961062413.719,-33894262493653.7,-11707976348201.781,17357005949469.291,25561510573672.848,4515186400146.606,1041735980077.4119,-9794630403243.861,790.9683333333334
10236012990478.86,900688300602.0818,-26138000150566.49,-9028757786994.453,13385080177088.678,19712090418869.883,3481944555534.366,803348235281.7816,-7553256323361.433,805.4283333333333
11684583169097.674,1028151031999.4452,-29836972430760.336,-10306480796532.088,15279296965625.232,22501687005220.957,3974699022290.111,917035707919.9323,-8622170785346.703,787.2583333333333
8744638905386.76,769459148923.406,-22329726786800.17,-7713279241970.8,11434890969262.527,16840063918493.389,2974629661270.3174,686301433727.6926,-6452756509917.604,735.4133333333333
8927787292484.512,785574762108.9491,-22797402285231.723,-7874826754391.777,11674384207795.096,17192763501273.209,3036930532097.366,700675380575.8837,-6587903529779.872,711.9116666666666
12461071307962.984,1096475857283.4556,-31819760716978.87,-10991388416691.588,16294668474776.248,23997015719810.473,4238833957249.515,977976458161.2686,-9195149134526.693,722.88
9334456657927.92,821358455552.7908,-23835846078197.723,-8233532751096.1455,12206163728669.3,17975910559128.785,3175265663439.1763,732591824690.3127,-6887988926517.84,729.5883333333334
9545768576045.387,839952223314.6329,-24375438125783.8,-8419922119338.107,12482484823523.03,18382846329826.816,3247146816922.863,749176135591.5347,-7043918149404.642,726.1183333333333
7433930635487.197,654127144710.46,-18982789630371.41,-6557158416625.456,9720948579653.846,14315956195070.4,2528771156371.1387,583433765308.8823,-5485571870662.389,714.8433333333334
11816392627683.783,1039749218866.2788,-30173552269775.047,-10422744385669.773,15451657035467.955,22755520207014.01,4019536131531.1963,927380452544.5062,-8719434316109.031,693.8349999999999
6402912416105.264,563405700825.5264,-16350050183083.283,-5647740495620.051,8372741949633.725,12330463896914.357,2178053707005.516,502516814784.4182,-4724773137129.612,660.4783333333332
8402168163897.063,739324419072.8889,-21455216359660.547,-7411200153216.907,10987060473122.707,16180547943429.992,2858132729222.687,659423474244.5553,-6200043957697.046,655.3783333333334
8355021204594.642,735175856355.5234,-21334825045080.08,-7369613796173.171,10925408934048.666,16089754290374.36,2842094933697.0645,655723266250.7378,-6165253757724.459,658.8783333333333
9270215916105.92,815705759981.2715,-23671805245603.438,-8176868668629.759,12122159499672.326,17852198425585.652,3153413146563.822,727550072270.9528,-6840585106366.331,662.4599999999999
8980690823999.082,790229845352.8645,-22932493238460.42,-7921490730935.778,11743563243287.727,17294642950922.55,3054926522854.5156,704827396973.6107,-6626941611411.445,665.6566666666666
10996288520468.645,967586492848.5636,-28079389248063.8,-9699364907599.566,14379251084901.559,21176197731524.387,3740564535061.352,863016664279.6877,-8114271456411.536,676.4566666666667
10000999552666.291,880008944087.9436,-25537885623972.945,-8821462263928.03,13077765678844.627,19259511340606.785,3402000964421.3506,784903831232.9591,-7379837682032.759,701.075
11976998750303.158,1053881258336.5082,-30583665452140.35,-10564408282487.398,15661672814408.5,23064808904209.293,4074168900197.102,939985272925.7312,-8837947303561.018,739.2549999999999
8722714814672.351,767529995696.0725,-22273742907809.664,-7693940914635.331,11406221990770.732,16797843423478.045,2967171831045.336,684580784410.28,-6436578528449.254,722.3566666666667
12855377727479.982,1131171683134.9126,-32826635405233.656,-11339189554098.592,16810281512117.254,24756354790206.37,4372963643367.393,1008922665534.7849,-9486111895042.613,756.4316666666667
14095479003255.271,1240290799380.8762,-35993275339812.21,-12433030882373.668,18431894808033.945,27144490547939.254,4794804053216.987,1106248961038.139,-10401195044801.408,781.765
10326103267851.83,908615535335.4841,-26368048668068.32,-9108222644096.652,13502886364908.916,19885582544157.76,3512590212680.768,810418745851.6461,-7619734832696.488,794.3016666666666
12477024225843.725,1097879600215.0518,-31860496987423.3,-11005459828073.781,16315529302569.44,24027737163231.19,4244260594711.9385,979228466184.1051,-9206920904151.674,796.0483333333334
9222979868799.816,811549361135.5706,-23551186448471.465,-8135203735623.181,12060391480908.346,17761233214209.605,3137345046259.91,723842870148.908,-6805729160193.075,802.5533333333333
13153268821943.764,1157383736566.1018,-33587310262377.465,-11601946785358.107,17199817518976.809,25330021156568.1,4474296096783.465,1032301927415.8269,-9705928751969.97,800.4816666666667
7069681437841.462,622076106242.2968,-18052666859292.95,-6235869455168.733,9244639677019.736,13614499951501.732,2404865905675.374,554846511002.3374,-5216788606716.388,788.68
10095117425445.254,888290567244.0336,-25778218858414.895,-8904479697998.965,13200838500392.191,19440759720276.805,3434016682163.239,792290461034.3124,-7449288254231.392,783.2466666666667
10780184353341.76,948571046752.9531,-27527560195030.664,-9508748519983.861,14096663444510.676,20760033350439.7,3667053231764.403,846056264059.239,-7954806028160.913,788.4666666666667
12564124484616.025,1105543743708.1895,-32082910395241.39,-11082287324413.63,16429425639927.717,24195471234749.504,4273889148086.4795,986064305629.0736,-9271193029197.1,808.6783333333333
11514315378618.756,1013168810803.304,-29402187930017.625,-10156294715468.668,15056646990179.756,22173792319843.098,3916779691140.8594,903672657296.0619,-8496528472391.637,827.2816666666665
13183957755448.34,1160084178927.1006,-33665675262340.88,-11629016257335.44,17239948064987.482,25389120486570.812,4484735408390.261,1034710384174.9801,-9728574181692.566,845.0100000000001
10473330254488.7,921570347148.3313,-26743997741281.8,-9238085401679.129,13695407127564.553,20169106223571.805,3562671845806.893,821973500495.6105,-7728375117312.166,859.6850000000001
