Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Close
9237467031883.168,812824133053.9165,-23588179814451.152,-8147982264913.509,12079335644396.74,17789131931885.867,3142273078881.4106,724979831009.9126,832.9566666666666
11502436730678.084,1012123572744.013,-29371855436283.45,-10145817047664.36,15041113878662.14,22150916929601.004,3912738980639.9976,902740405424.5159,845.3383333333334
12039715837481.623,1059399886669.8511,-30743815541257.867,-10619728411228.262,15743684659917.594,23185586817628.094,4095503117504.456,944907436907.3973,837.3966666666668
13762710500825.592,1211009809487.9934,-35143539857455.727,-12139509752137.48,17996751510578.863,26503658708066.88,4681607487129.325,1080132430882.8573,855.9266666666666
11459574721131.24,1008352058011.2961,-29262405856094.25,-10108010269972.527,14985065567060.479,22068375036609.867,3898158776940.792,899376481098.823,875.4916666666667
14209588499372.219,1250331517069.8699,-36284657789304.94,-12533682067653.041,18581109543013.164,27364237929008.773,4833620239978.223,1115204586818.8562,781.3866666666668
12936828777750.771,1138338738967.101,-33034622433032.258,-11411034001594.135,16916790626041.541,24913209240148.02,4400670462365.121,1015315024196.1932,773.7366666666668
11626523366270.01,1023042165862.6652,-29688715877657.016,-10255268732553.256,15203375058305.531,22389878551154.676,3954949128899.647,912479228892.1917,770.495
11240500291145.596,989075220461.2645,-28702991487952.637,-9914773815207.871,14698593670902.223,21646490230880.234,3823637050780.197,882182918831.2384,765.2683333333333
15756772175745.771,1386471464150.232,-40235443422109.7,-13898387978978.545,20604277928888.55,30343740634110.06,5359919708810.234,1236631552703.3208,759.3116666666666
13504735392035.785,1188310032811.1296,-34484791825821.516,-11911960721692.104,17659411402918.85,26006860915720.52,4593853102634.524,1059885895568.183,765.705
16959019900251.768,1492259794158.899,-43305422247477.836,-14958840213204.264,22176392276884.125,32658979062251.273,5768883564610.047,1330986875575.7224,750.1066666666667
21630328745820.48,1903298112131.2727,-55233765207132.98,-19079205912803.445,28284810151886.094,41654792564617.87,7357904463469.305,1697603026378.9214,739.5033333333333
13161465931980.564,1158105030453.153,-33608241872640.266,-11609177131479.432,17210536510993.756,25345806818395.09,4477084474323.964,1032945245328.0658,735.58
14687129067206.27,1292351351495.4338,-37504073391927.945,-12954900605087.973,19205563668090.133,28283865703370.7,4996063335145.723,1152683124955.415,722.635
11333377715020.246,997247711840.0878,-28940157651135.58,-9996697181475.693,14820044544207.371,21825350097947.03,3855230838922.1704,889472233699.3147,711.5566666666667
11081929324338.941,975122205074.8857,-28298075885418.62,-9774905065380.834,14491238923975.572,21341121242274.434,3769696631847.2954,869737972258.0682,708.3449999999999
14410336753398.867,1267995776998.791,-36797275128114.8,-12710753680403.996,18843617161068.887,27750830604124.215,4901907988808.0,1130959817772.8052,699.1766666666666
12832555773736.377,1129163519012.657,-32768358842145.004,-11319059256312.617,16780438425246.236,24712405251860.273,4365200393430.68,1007131560352.4692,656.8183333333333
16035138120650.627,1410965484767.3933,-40946259338826.26,-14143922827078.96,20968282039159.54,30879805739033.457,5454610308193.123,1258478300687.279,680.3966666666666
10567847849440.121,929887122390.9408,-26985351722282.0,-9321455392165.795,13819002548763.27,20351124400793.01,3594823540781.285,829391527784.0468,656.2783333333333
14056536625547.156,1236864180905.2107,-35893834686703.18,-12398681449017.723,18380971992927.086,27069496928498.87,4781557175967.734,1103192661345.3865,667.9449999999999
16061578716602.574,1413292054574.6917,-41013776508689.74,-14167245004311.145,21002857020837.434,30930724091315.277,5463604517278.933,1260553447795.592,664.7133333333334
8041990381545.811,707631605229.854,-20535490429514.836,-7093502422790.665,10516075425063.527,15486932489963.879,2735612463079.521,631155827136.8187,662.8216666666667
8268446815176.154,727557983052.7224,-21113754391907.008,-7293250135623.855,10812200239750.09,15923032868852.244,2812645257956.043,648928691223.7924,656.5633333333333
6899724513591.009,607121239918.0511,-17618676432918.47,-6085957610652.165,9022396233334.223,13287204090147.467,2347052338342.546,541507889894.31085,651.2666666666667
8252706951451.088,726172994115.8186,-21073562295434.97,-7279366676085.048,10791618055298.236,15892721801248.553,2807291102447.776,647693413715.9165,640.27
12770955217395.027,1123743177585.328,-32611059703556.645,-11264724008443.54,16699886816778.078,24593777401894.24,4344245965246.443,1002296962191.4015,628.8083333333333
9381357588194.17,825485334942.7924,-23955609246122.25,-8274902062382.352,12267493383098.033,18066230486069.36,3191219779145.5127,736272771847.9592,628.565
14706588585230.635,1294063668270.7092,-37553763847240.73,-12972065064188.84,19231009991248.477,28321339985902.88,5002682793851.635,1154210313666.4456,673.0383333333334
11182361291645.344,983959481459.5043,-28554532077105.22,-9863491943689.396,14622568650552.023,21534528843131.668,3803860161474.9927,877620045381.791,681.24
