Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Close
10309421328003.086,907147601006.7542,-26325450984687.637,-9093508157224.354,13481072016459.281,19853457299019.188,3506915604750.6743,809109589312.6376,-7607425294894.1,-21594307613877.523,1031.045
13868984060669.81,1220361004379.08,-35414913052397.46,-12233249165826.404,18135719484012.87,26708316022652.434,4717758164002.821,1088473106271.2614,-10234062279294.264,-29050234612376.965,993.19
12291837999764.32,1081584592049.7067,-31387618092263.14,-10842114752592.717,16073370885175.885,23671113400177.824,4181266552308.2026,964694707177.274,-9070270479709.242,-25746714797434.434,953.7666666666668
6351638540622.51,558893951447.2094,-16219120820634.436,-5602513913408.522,8305693609259.169,12231722920093.127,2160612093808.662,498492790870.70984,-4686937851836.013,-13304261332867.34,887.1816666666667
12074324530173.467,1062445133168.313,-30832190149739.402,-10650255247748.85,15788940336900.44,23252234921522.36,4107275839978.075,947623683208.8713,-8909765072924.293,-25291107002292.45,900.9383333333334
11894103988555.31,1046587184286.3335,-30371990876278.36,-10491290298260.81,15553275866636.598,22905173574457.117,4045970909032.1255,933479466364.405,-8776778389857.953,-24913613759788.492,926.3216666666668
7321074563739.446,644196658580.5808,-18694608004341.17,-6457612765880.203,9573372582865.006,14098622721963.541,2490381361379.5127,574576594552.8953,-5402294413636.734,-15334860214848.09,996.205
11990525092034.436,1055071399114.6489,-30618205705716.098,-10576339244477.725,15679360127965.807,23090857575045.78,4078770133293.964,941046965255.8942,-8847928829479.162,-25115579052736.613,1051.8266666666666
13617312182914.658,1198215949680.1814,-34772259704975.44,-12011259964037.28,17806622171228.562,26223656181447.21,4632147855563.793,1068721068618.069,-10048350584360.324,-28523077806540.656,1073.8316666666667
13480165711865.916,1186148087621.4392,-34422052914264.13,-11890288900297.932,17627282946490.5,25959546026241.883,4585495373010.316,1057957687097.0148,-9947149388136.33,-28235808839769.49,1036.246666666667
5140270172429.087,452303151341.63715,-13125851118025.486,-4534016714888.243,6721653012285.656,9898919666516.316,1748545624056.985,403421451405.4783,-3793056797578.935,-10766906472728.555,977.3433333333334
6212685763872.219,546667175268.4226,-15864300418555.277,-5479949475443.921,8123992443357.022,11964133506802.254,2113345084260.3213,487587473368.0482,-4584403338578.221,-13013208192413.281,910.6983333333334
7099755467654.761,624722372450.8956,-18129462191071.293,-6262396517892.693,9283965813172.756,13672415469033.252,2415096093365.198,557206846039.9913,-5238980659674.358,-14871281211775.787,865.9449999999999
10065996457292.184,885728142871.235,-25703857442931.473,-8878793294529.77,13162758529978.268,19384679733296.617,3424110714322.033,790004977009.4174,-7427799616071.241,-21084425326076.152,829.9133333333334
10915921016059.592,960514799189.5806,-27874168102546.96,-9628476112611.822,14274158903118.861,21021429285584.676,3713226230539.326,856709200805.3137,-8054967424432.349,-22864693303921.996,844.3366666666667
